sampleID	run	forwardReads	reverseReads
s0937	2022_02_17	data/raw/fetch-reads/fastq/ERX11774129_ERR12398066_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774129_ERR12398066_1.fastq.gz
s0939	2022_02_17	data/raw/fetch-reads/fastq/ERX11774130_ERR12398067_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774130_ERR12398067_1.fastq.gz
ATCC_mock_2	2020_11_27	data/raw/fetch-reads/fastq/ERX11774082_ERR12398019_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774082_ERR12398019_2.fastq.gz
Extr_NC_2	2020_11_27	data/raw/fetch-reads/fastq/ERX11774083_ERR12398020_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774083_ERR12398020_1.fastq.gz
PCR_NC_2	2020_11_27	data/raw/fetch-reads/fastq/ERX11774084_ERR12398021_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774084_ERR12398021_1.fastq.gz
ZR_even_mock_2	2020_11_27	data/raw/fetch-reads/fastq/ERX11774085_ERR12398022_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774085_ERR12398022_2.fastq.gz
Extr_NC_1_1	2020_12_01	data/raw/fetch-reads/fastq/ERX11774086_ERR12398023_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774086_ERR12398023_1.fastq.gz
Extr_NC_1_2	2020_12_01	data/raw/fetch-reads/fastq/ERX11774087_ERR12398024_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774087_ERR12398024_2.fastq.gz
PCR_NC_1	2020_12_01	data/raw/fetch-reads/fastq/ERX11774088_ERR12398025_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774088_ERR12398025_2.fastq.gz
ZR_even_mock_1	2020_12_01	data/raw/fetch-reads/fastq/ERX11774089_ERR12398026_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774089_ERR12398026_1.fastq.gz
ATCC_mock_3	2021_01_06	data/raw/fetch-reads/fastq/ERX11774090_ERR12398027_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774090_ERR12398027_1.fastq.gz
Extr_NC_3	2021_01_06	data/raw/fetch-reads/fastq/ERX11774091_ERR12398028_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774091_ERR12398028_1.fastq.gz
PCR_NC_3	2021_01_06	data/raw/fetch-reads/fastq/ERX11774092_ERR12398029_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774092_ERR12398029_1.fastq.gz
ZR_even_mock_3	2021_01_06	data/raw/fetch-reads/fastq/ERX11774093_ERR12398030_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774093_ERR12398030_2.fastq.gz
ATCC_mock_4	2021_01_20	data/raw/fetch-reads/fastq/ERX11774094_ERR12398031_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774094_ERR12398031_2.fastq.gz
Extr_NC_4	2021_01_20	data/raw/fetch-reads/fastq/ERX11774095_ERR12398032_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774095_ERR12398032_2.fastq.gz
PCR_NC_4	2021_01_20	data/raw/fetch-reads/fastq/ERX11774096_ERR12398033_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774096_ERR12398033_2.fastq.gz
ZR_even_mock_4	2021_01_20	data/raw/fetch-reads/fastq/ERX11774097_ERR12398034_2.fastq.gz	data/raw/fetch-reads/fastq/ERX11774097_ERR12398034_1.fastq.gz
ATCC_mock_5	2021_01_28	data/raw/fetch-reads/fastq/ERX11774098_ERR12398035_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774098_ERR12398035_2.fastq.gz
Extr_NC_5	2021_01_28	data/raw/fetch-reads/fastq/ERX11774099_ERR12398036_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774099_ERR12398036_2.fastq.gz
PCR_NC_5	2021_01_28	data/raw/fetch-reads/fastq/ERX11774100_ERR12398037_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774100_ERR12398037_2.fastq.gz
ZR_even_mock_5	2021_01_28	data/raw/fetch-reads/fastq/ERX11774101_ERR12398038_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774101_ERR12398038_2.fastq.gz
ATCC_mock_7	2022_02_17	data/raw/fetch-reads/fastq/ERX11774102_ERR12398039_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774102_ERR12398039_2.fastq.gz
Extr_NC_7	2022_02_17	data/raw/fetch-reads/fastq/ERX11774103_ERR12398040_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774103_ERR12398040_2.fastq.gz
PCR_NC_7	2022_02_17	data/raw/fetch-reads/fastq/ERX11774104_ERR12398041_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774104_ERR12398041_2.fastq.gz
ZR_even_mock_7	2022_02_17	data/raw/fetch-reads/fastq/ERX11774105_ERR12398042_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774105_ERR12398042_2.fastq.gz
